"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"J2";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0";;;
2;"C10,C6";"C1005";2;"750pF";;;
3;"RF-SHEILD-CASE0";"BMI-S-202";1;"BMI-S-202";;;
4;"R7,R5";"C1005";2;"2.2K";;;
5;"J1";"PINH-2MM-2P";1;"PINH_2MM_2P";;;
6;"LED1,LED2,LED3";"LED_1608";3;"LED1608";;;
7;"C34,C13,C26,C16,C35,C28,C17,C38,C30,C27,C43,C25,C37,C31,C23";"C1005";15;"0.1uF";;;
8;"R13,R12";"C1005";2;"5.1K";;;
9;"RF_DIVIDER0";"RF_DIV";1;"PD0922J5050S2HF";;;
10;"XTAL0";"XTAL_SMD";1;"24MHz 12pF";;;
11;"C20,C19";"C1005";2;"12pF";;;
12;"C32,C41,C40,C33,C39,C18,C14,C29,C42";"C1005";9;"100pF";;;
13;"R6,R10,R2,R8,R4";"C1005";5;"10K";;;
14;"R1,R3";"C1005";2;"15K";;;
15;"U5";"SOT23";1;"LDO 3.3V 500mA SOT23-5";;;
16;"C9,C3,C5,C15,C1";"C1005";5;"470pF";;;
17;"C7,C11";"C1005";2;"15pF";;;
18;"F1";"C1608";1;"12V 8 Ohm, Trip 250mA";;;
19;"C24,C22";"C3225";2;"10uF";;;
20;"TCXO0";"TCXO";1;"24.000 MHz 0.5ppm";;;
21;"L2";"C1608";1;"68nH";;;
22;"U4";"TSSOP_8P";1;"AT24C128C";;;
23;"U1,U2";"TQFN28";2;"MAX2771";;;
24;"U3";"QFN56";1;"CY7C68013A-56LTXCT";;;
25;"C2";"C1005";1;"1.7pF";;;
26;"#PAD03,#PAD02,#PAD04,#PAD01";"CPAD_2.2MM";4;"";;;
27;"L3";"C1608";1;"8.4nH";;;
28;"R9";"C1005";1;"100K";;;
29;"C4";"C1005";1;"1.1pF";;;
30;"C21";"C1005";1;"1uF";;;
31;"C12,C8";"C1005";2;"0.01uF";;;
32;"R11";"C1005";1;"100";;;
33;"C36";"C1005";1;"C1005";;;
34;"AR1";"EXB28V";1;"1K x 4";;;
35;"J4";"SMA-ANG";1;"SMA-ANG";;;
36;"L1";"C1608";1;"5.6nF";;;
